keyword	class
carcinoma	cancer
sarcoma	cancer
blastoma	cancer
glioma	cancer
teratoma	cancer
lymphoma	cancer
myeloma	cancer
melanoma	cancer
astrocytoma	cancer
leukemi	cancer
mesothelioma	cancer
epithelioma	cancer
papilloma	cancer
chordoma	cancer
ependymoma	cancer
seminoma	cancer
tumor	cancer
cancer	cancer
primary_cll	cancer
cll_cell	cancer
primary_aml	cancer
aml_cell	cancer
primary_t_all	cancer
sezary_syndrome	cancer
mycosis_fungoides	cancer
trisomy_21	non-cancer
hepatitis	non-cancer
cirrhosis	non-cancer
arthritis	non-cancer
schizophrenia	non-cancer
alzheimer	non-cancer
diabetes	non-cancer
t1d	non-cancer
periodontitis	non-cancer
lupus	non-cancer
cardiomyopathy	non-cancer
septic_disease	non-cancer
healthy_donor	non-cancer
healthy_volunteer	non-cancer
graves'_patient	non-cancer
crohn	non-cancer
healthy	non-cancer
